"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Jeet\App Projects\find_easy\lib\main.dart", "Dart", 6, 0, 0, 6
"c:\Users\Jeet\App Projects\find_easy\lib\models\category_properties.dart", "Dart", 6, 0, 0, 6
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\add_page.dart", "Dart", -23, 0, 0, -23
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\category\add_category.dart", "Dart", 4, 0, 0, 4
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\category\category_products_add_page.dart", "Dart", 5, 0, 0, 5
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\post\add_post_page.dart", "Dart", 6, 0, -1, 5
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\post\select_product_for_post_page.dart", "Dart", 2, 0, 0, 2
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\product\add_product_page_1.dart", "Dart", 89, 1, 1, 91
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\add\product\add_product_page_2.dart", "Dart", 11, 0, 1, 12
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\discount\discount_page.dart", "Dart", 119, 2, 7, 128
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\discount\products\select_products_for_discount.dart", "Dart", 327, 2, 11, 340
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\discount\products\single_product_discount.dart", "Dart", 551, 11, 23, 585
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\main_page.dart", "Dart", 17, 0, 1, 18
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\data\all_categories_page.dart", "Dart", -1, 0, -5, -6
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\details\business_details_page.dart", "Dart", 6, 0, 0, 6
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\profile_page.dart", "Dart", 11, 1, 0, 12
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\view page\analytics\analaytics_page.dart", "Dart", 5, 0, 0, 5
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\view page\category\category_page.dart", "Dart", 9, 0, 0, 9
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\view page\posts\post_page.dart", "Dart", 0, 0, 1, 1
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\view page\product\product_category_change_page.dart", "Dart", 1, 0, -1, 0
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\view page\product\product_image_page.dart", "Dart", -1, 0, 0, -1
"c:\Users\Jeet\App Projects\find_easy\lib\page\main\profile\view page\product\product_page.dart", "Dart", 403, 10, 7, 420
"c:\Users\Jeet\App Projects\find_easy\lib\page\register\register_cred.dart", "Dart", 2, 1, 0, 3
"c:\Users\Jeet\App Projects\find_easy\lib\page\register\user_register_details.dart", "Dart", 4, 1, 0, 5
"c:\Users\Jeet\App Projects\find_easy\lib\page\register\verify\email_verify.dart", "Dart", 12, 0, -6, 6
"c:\Users\Jeet\App Projects\find_easy\lib\page\register\verify\number_verify.dart", "Dart", 0, -1, 0, -1
"c:\Users\Jeet\App Projects\find_easy\lib\provider\discount_products_provider.dart", "Dart", 16, 0, 6, 22
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\info_edit_box.dart", "Dart", 1, 0, 0, 1
"Total", "-", 1588, 28, 45, 1661